date,men_20_24_rate,women_20_24_rate,men_25plus_rate,women_25plus_rate,men_25_34_rate,women_25_34_rate,men_35_44_rate,women_35_44_rate,men_45_54_rate,women_45_54_rate,men_55plus_rate,women_55plus_rate,20_plus_overall_rate,20_plus_men_rate,20_plus_women_rate
1957-04-01,6.9,6.2,3.0,3.2,3.0,5.4,2.8,3.3,3.0,2.1,3.3,,4.0,3.6666666666666665,4.040000000000001
1957-05-01,7.3,5.8,2.9,3.9,3.0,5.6,2.3,3.7,2.9,2.7,3.5,,4.088888888888889,3.65,4.34
1957-06-01,8.5,5.6,3.0,4.1,3.2,5.7,2.4,4.8,3.5,2.4,3.3,,4.377777777777777,3.983333333333333,4.52
1957-07-01,6.7,5.7,3.1,3.9,3.4,5.5,2.5,3.9,3.2,2.7,3.3,,4.1,3.7000000000000006,4.34
1957-08-01,7.6,6.6,3.0,3.7,3.3,5.2,2.6,3.4,2.9,3.4,3.3,,4.2555555555555555,3.783333333333333,4.459999999999999
1957-09-01,8.2,5.7,3.4,4.0,3.6,4.9,3.0,4.3,3.4,3.5,3.7,,4.477777777777778,4.216666666666666,4.4799999999999995
1957-10-01,8.7,5.5,3.5,4.0,3.7,5.0,3.4,4.2,3.8,3.4,3.7,,4.6,4.466666666666666,4.42
1957-11-01,10.7,6.6,4.0,4.4,4.1,5.7,3.7,4.1,4.1,3.8,3.7,,5.166666666666667,5.049999999999999,4.92
1957-12-01,10.4,5.6,4.2,4.2,4.7,5.7,3.8,4.3,4.2,3.6,4.0,,5.144444444444444,5.216666666666667,4.680000000000001
1958-01-01,11.6,7.4,4.6,5.0,5.6,5.8,4.2,5.1,4.2,4.3,4.1,,5.811111111111112,5.716666666666666,5.52
1958-02-01,12.7,8.0,5.1,5.9,6.0,7.0,4.9,7.2,4.7,4.9,4.8,,6.688888888888889,6.366666666666666,6.6
1958-03-01,13.1,8.5,5.6,5.8,6.5,7.5,5.0,6.6,5.4,4.3,5.2,,6.9,6.800000000000001,6.539999999999999
1958-04-01,13.6,11.4,6.1,6.2,7.4,7.9,5.3,7.0,6.0,5.3,5.6,,7.722222222222222,7.333333333333333,7.56
1958-05-01,13.8,9.5,6.2,6.2,7.3,8.4,5.7,6.6,5.7,5.5,5.6,,7.566666666666666,7.383333333333334,7.24
1958-06-01,13.8,9.0,6.3,6.2,7.6,8.1,5.6,6.6,6.4,5.4,5.4,,7.544444444444445,7.516666666666667,7.06
1958-07-01,14.6,8.8,6.3,6.0,7.2,8.1,5.9,5.9,6.1,5.3,5.7,,7.511111111111112,7.633333333333334,6.8199999999999985
1958-08-01,13.3,9.7,6.3,6.2,6.9,8.1,5.8,6.1,6.5,5.1,5.8,,7.477777777777778,7.433333333333333,7.040000000000001
1958-09-01,12.6,9.1,5.8,5.9,6.4,7.3,5.2,6.4,5.4,5.0,5.9,,7.033333333333333,6.883333333333333,6.74
1958-10-01,12.5,8.6,5.5,5.5,6.2,7.1,5.1,5.6,4.9,5.4,6.2,,6.844444444444445,6.733333333333333,6.4399999999999995
1958-11-01,10.2,8.1,5.2,4.9,5.8,6.7,4.6,4.9,4.4,4.2,5.8,,6.0777777777777775,5.999999999999999,5.76
1958-12-01,10.5,9.4,5.1,5.1,5.9,6.3,4.6,5.8,4.4,4.3,5.8,,6.333333333333332,6.05,6.180000000000001
1959-01-01,10.2,9.2,4.8,5.2,5.5,6.3,4.0,5.9,4.6,4.1,5.3,,6.122222222222222,5.733333333333333,6.140000000000001
1959-02-01,10.3,9.3,4.7,5.1,5.3,6.8,4.3,5.4,4.5,4.3,5.1,,6.144444444444445,5.7,6.180000000000001
1959-03-01,9.4,9.1,4.3,5.0,4.9,6.3,3.7,5.2,4.1,4.4,4.8,,5.766666666666666,5.2,6.0
1959-04-01,7.6,8.0,3.9,4.8,4.3,5.4,3.2,5.3,3.8,4.5,4.5,,5.177777777777777,4.55,5.6000000000000005
1959-05-01,6.8,7.4,3.9,4.7,4.4,5.4,3.2,4.9,3.4,4.4,4.5,,4.933333333333334,4.366666666666666,5.359999999999999
1959-06-01,8.4,7.8,3.8,4.5,4.0,5.5,3.4,4.7,3.7,4.3,4.0,,5.088888888888889,4.55,5.36
1959-07-01,7.9,7.5,3.9,4.6,3.9,5.6,3.4,4.8,3.9,4.2,4.5,,5.0777777777777775,4.583333333333333,5.34
1959-08-01,7.9,7.5,4.0,4.4,4.0,5.7,3.7,4.8,4.3,3.7,3.9,,5.055555555555555,4.633333333333334,5.220000000000001
1959-09-01,9.2,7.9,4.3,4.5,4.8,5.7,4.0,4.6,4.3,3.7,4.2,,5.377777777777778,5.133333333333334,5.28
1959-10-01,8.7,8.0,4.4,4.9,4.8,6.3,3.6,5.3,4.5,4.8,5.0,,5.666666666666667,5.166666666666667,5.86
1959-11-01,9.2,7.7,4.9,4.6,5.2,5.4,4.8,5.2,4.5,4.1,4.8,,5.655555555555555,5.566666666666666,5.4
1959-12-01,8.4,7.6,3.9,4.8,4.3,6.6,3.3,4.7,3.8,4.0,4.3,,5.222222222222222,4.666666666666667,5.54
1960-01-01,8.5,7.8,4.0,4.4,4.2,5.8,3.6,4.3,3.9,3.9,4.5,,5.166666666666667,4.783333333333333,5.24
1960-02-01,8.4,7.5,3.6,4.1,3.9,5.3,3.0,4.7,3.5,3.5,4.3,,4.8999999999999995,4.45,5.02
1960-03-01,9.0,7.8,4.1,4.6,4.7,5.2,3.4,4.9,3.9,4.3,4.4,,5.288888888888889,4.916666666666667,5.36
1960-04-01,8.8,8.1,4.0,4.3,4.7,5.6,3.4,4.3,3.5,4.0,4.4,,5.199999999999999,4.8,5.26
1960-05-01,8.3,8.5,3.9,4.2,3.9,5.5,3.7,4.5,3.9,3.6,4.0,,5.1000000000000005,4.616666666666666,5.26
1960-06-01,7.8,9.1,4.2,4.4,4.7,6.1,3.7,4.6,3.7,4.1,4.8,,5.3999999999999995,4.816666666666666,5.660000000000001
1960-07-01,8.7,8.5,4.3,4.7,5.1,6.7,3.7,5.0,3.9,4.2,4.5,,5.588888888888889,5.033333333333333,5.819999999999999
1960-08-01,8.8,8.1,4.5,4.7,5.3,6.3,3.8,4.8,4.1,4.4,4.8,,5.6,5.216666666666667,5.660000000000001
1960-09-01,8.9,7.7,4.5,4.4,4.9,7.2,4.0,4.5,4.4,3.5,4.5,,5.511111111111111,5.2,5.46
1960-10-01,9.2,7.6,4.8,5.2,5.3,7.2,4.4,5.2,4.9,4.8,4.8,,5.933333333333333,5.566666666666666,6.0
1960-11-01,10.2,9.5,4.9,5.3,5.8,7.2,4.6,5.4,4.4,5.0,4.5,,6.288888888888889,5.733333333333333,6.4799999999999995
1960-12-01,11.3,9.6,5.1,5.6,5.8,7.7,4.8,5.8,5.3,5.5,4.7,,6.722222222222222,6.166666666666667,6.840000000000001
1961-01-01,10.5,9.2,5.3,5.5,5.8,7.2,4.8,5.6,5.2,4.8,5.2,,6.477777777777778,6.133333333333334,6.459999999999999
1961-02-01,11.1,9.6,5.3,5.9,6.1,8.1,4.7,6.3,5.4,5.3,5.2,,6.866666666666666,6.300000000000001,7.040000000000001
1961-03-01,11.2,10.1,5.3,6.0,5.9,7.1,4.8,6.7,5.0,5.3,5.5,,6.844444444444444,6.283333333333334,7.040000000000001
